absolute_path,relative_path,short_description,primary_purpose,benefits_notes,detected_dependencies,inclusion_reason
d:\CamboAI\backend\alembic\env.py,backend\alembic\env.py,No module docstring or top comment,,Implementation detail / helper module,"alembic,app,logging,os,sqlalchemy,sys",canonical-picked
d:\CamboAI\backend\app\api\admin.py,backend\app\api\admin.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,fastapi,os,pydantic,shutil,typing",canonical-picked
d:\CamboAI\backend\app\api\alerts.py,backend\app\api\alerts.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,datetime,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\analysis.py,backend\app\api\analysis.py,No module docstring or top comment,,Exposes HTTP endpoints,"fastapi,numpy,talib,typing",canonical-picked
d:\CamboAI\backend\app\api\auth.py,backend\app\api\auth.py,No module docstring or top comment,,Exposes HTTP endpoints,"datetime,fastapi,hashlib,jwt,os,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\coach.py,backend\app\api\coach.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,datetime,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\community_chat.py,backend\app\api\community_chat.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,datetime,fastapi,pydantic,sqlalchemy,typing",canonical-picked
d:\CamboAI\backend\app\api\learning.py,backend\app\api\learning.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,datetime,fastapi,json,pydantic,sqlalchemy,typing,uuid",canonical-picked
d:\CamboAI\backend\app\api\market_data.py,backend\app\api\market_data.py,No module docstring or top comment,,Exposes HTTP endpoints,"fastapi,pandas,typing,yfinance",canonical-picked
d:\CamboAI\backend\app\api\modules.py,backend\app\api\modules.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,datetime,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\news.py,backend\app\api\news.py,No module docstring or top comment,,Exposes HTTP endpoints,"app,fastapi,typing",canonical-picked
d:\CamboAI\backend\app\api\news_sentiment.py,backend\app\api\news_sentiment.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,aiohttp,asyncio,dataclasses,datetime,fastapi,pydantic,re,typing",canonical-picked
d:\CamboAI\backend\app\api\options\__init__.py,backend\app\api\options\__init__.py,No module docstring or top comment,,Exposes HTTP endpoints,,canonical-picked
d:\CamboAI\backend\app\api\options\hedging_router.py,backend\app\api\options\hedging_router.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\options\router.py,backend\app\api\options\router.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\options\strategies_router.py,backend\app\api\options\strategies_router.py,🎯 OPTIONS STRATEGIES API ROUTER,🎯 OPTIONS STRATEGIES API ROUTER,Exposes HTTP endpoints,"app,datetime,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\patterns.py,backend\app\api\patterns.py,No module docstring or top comment,,Exposes HTTP endpoints,"app,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\portfolio.py,backend\app\api\portfolio.py,No module docstring or top comment,,Exposes HTTP endpoints,"datetime,fastapi,models,pandas,pydantic,services,typing,yfinance",canonical-picked
d:\CamboAI\backend\app\api\risk.py,backend\app\api\risk.py,No module docstring or top comment,,Exposes HTTP endpoints,"datetime,fastapi,logging,models,services,typing",canonical-picked
d:\CamboAI\backend\app\api\sentiment.py,backend\app\api\sentiment.py,No module docstring or top comment,,Exposes HTTP endpoints,"app,fastapi,typing",canonical-picked
d:\CamboAI\backend\app\api\trading.py,backend\app\api\trading.py,No module docstring or top comment,,Exposes HTTP endpoints,"fastapi,typing",canonical-picked
d:\CamboAI\backend\app\api\transactions.py,backend\app\api\transactions.py,No module docstring or top comment,,Exposes HTTP endpoints,"csv,datetime,fastapi,io,json,logging,models,pydantic,services,typing",canonical-picked
d:\CamboAI\backend\app\api\war_room.py,backend\app\api\war_room.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,datetime,fastapi,pydantic,typing",canonical-picked
d:\CamboAI\backend\app\api\websocket.py,backend\app\api\websocket.py,No module docstring or top comment,,Exposes HTTP endpoints,"__future__,app,fastapi,json,logging,typing",canonical-picked
d:\CamboAI\backend\app\core\logging.py,backend\app\core\logging.py,No module docstring or top comment,,Implementation detail / helper module,"json,loguru,sys,typing",canonical-picked
d:\CamboAI\backend\app\core\metrics.py,backend\app\core\metrics.py,No module docstring or top comment,,Implementation detail / helper module,"prometheus_client,typing",canonical-picked
d:\CamboAI\backend\app\database.py,backend\app\database.py,No module docstring or top comment,,Defines DB models and session helpers,"datetime,os,sqlalchemy,uuid",canonical-picked
d:\CamboAI\backend\app\database_simple.py,backend\app\database_simple.py,No module docstring or top comment,,Defines DB models and session helpers,"datetime,os,sqlalchemy,uuid",canonical-picked
d:\CamboAI\backend\app\main.py,backend\app\main.py,No module docstring or top comment,,Application entrypoint / app wiring,"app,asyncio,datetime,fastapi,os,prometheus_fastapi_instrumentator,time",canonical-picked
d:\CamboAI\backend\app\main_simple.py,backend\app\main_simple.py,No module docstring or top comment,,Application entrypoint / app wiring,"datetime,fastapi",canonical-picked
d:\CamboAI\backend\app\models\learning.py,backend\app\models\learning.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\backend\app\models\memory.py,backend\app\models\memory.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\backend\app\models\social.py,backend\app\models\social.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\backend\app\security\middleware.py,backend\app\security\middleware.py,No module docstring or top comment,,Implementation detail / helper module,"fastapi,logging,security_service,time,typing",canonical-picked
d:\CamboAI\backend\app\security\security_service.py,backend\app\security\security_service.py,No module docstring or top comment,,Contains business logic or background tasks,"asyncio,datetime,fastapi,hashlib,logging,pydantic,re,secrets,string,time,typing",canonical-picked
d:\CamboAI\backend\app\services\ai\market_intelligence.py,backend\app\services\ai\market_intelligence.py,🧠 AI MARKET INTELLIGENCE ENGINE - BEYOND BLOOMBERG,🧠 AI MARKET INTELLIGENCE ENGINE - BEYOND BLOOMBERG,Contains business logic or background tasks,"__future__,aiohttp,asyncio,dataclasses,datetime,enum,json,numpy,pandas,re,sklearn,tensorflow,transformers,typing,warnings,yfinance",canonical-picked
d:\CamboAI\backend\app\services\alerts_service.py,backend\app\services\alerts_service.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,datetime,json,math,pathlib,typing,yfinance",canonical-picked
d:\CamboAI\backend\app\services\broker_service.py,backend\app\services\broker_service.py,No module docstring or top comment,,Contains business logic or background tasks,"alpaca_trade_api,datetime,logging,pydantic,typing,yfinance",canonical-picked
d:\CamboAI\backend\app\services\cache_service.py,backend\app\services\cache_service.py,No module docstring or top comment,,Contains business logic or background tasks,"asyncio,datetime,functools,hashlib,json,logging,pickle,redis,typing",canonical-picked
d:\CamboAI\backend\app\services\chart_patterns.py,backend\app\services\chart_patterns.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,dataclasses,numpy,pandas,typing",canonical-picked
d:\CamboAI\backend\app\services\database_service.py,backend\app\services\database_service.py,No module docstring or top comment,,Defines DB models and session helpers | Contains business logic or background tasks,"app,datetime,hashlib,sqlalchemy,typing,uuid",canonical-picked
d:\CamboAI\backend\app\services\feeds.py,backend\app\services\feeds.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,datetime,html,requests,typing,xml",canonical-picked
d:\CamboAI\backend\app\services\forex\forex_engine.py,backend\app\services\forex\forex_engine.py,💱 FOREX TRADING ENGINE - BEYOND INSTITUTIONAL LEVEL,💱 FOREX TRADING ENGINE - BEYOND INSTITUTIONAL LEVEL,Contains business logic or background tasks,"__future__,asyncio,dataclasses,datetime,enum,math,numpy,pandas,typing,warnings",canonical-picked
d:\CamboAI\backend\app\services\futures\futures_engine.py,backend\app\services\futures\futures_engine.py,⚡ FUTURES TRADING ENGINE - BEYOND CME GROUP,⚡ FUTURES TRADING ENGINE - BEYOND CME GROUP,Contains business logic or background tasks,"__future__,asyncio,dataclasses,datetime,enum,math,numpy,pandas,typing",canonical-picked
d:\CamboAI\backend\app\services\keys.py,backend\app\services\keys.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,json,os,pathlib,typing",canonical-picked
d:\CamboAI\backend\app\services\llm_provider.py,backend\app\services\llm_provider.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,os,requests,typing",canonical-picked
d:\CamboAI\backend\app\services\memory_service.py,backend\app\services\memory_service.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,app,datetime,sqlalchemy,typing",canonical-picked
d:\CamboAI\backend\app\services\news_sentiment.py,backend\app\services\news_sentiment.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,bs4,datetime,feeds,html,re,requests,time,typing,xml",canonical-picked
d:\CamboAI\backend\app\services\options\engine.py,backend\app\services\options\engine.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,dataclasses,math,numpy,typing",canonical-picked
